,Exchange,Coin,Pair,Volume
0,Binance,0x,ZRX/BTC,3016423
1,Bittrex,2give,2GIVE/BTC,3664
2,Okex,Ace (tokenstars),ACE/BTC,155437
3,Okex,Achain,ACT/BTC,31676
4,Okex,Acute angle cloud,AAC/BTC,109814
5,Kucoin,Adbank,ADB/BTC,53656
6,Binance,Adex,ADX/BTC,415334
7,Hitbtc,Adhive,ADH/BTC,35073
8,Bittrex,Adtoken,ADT/BTC,88646
9,Binance,Aelf,ELF/BTC,1042322
10,Bittrex,Aeon,AEON/BTC,9950
11,Binance,Aeron,ARN/BTC,4633743
12,Binance,Aeternity,AE/BTC,798035
13,Binance,Agrello,DLT/BTC,1707185
14,Okex,Ai doctor,AIDOC/BTC,46568
15,Bittrex,Aidcoin,AID/BTC,29176
16,Kucoin,Aigang,AIX/BTC,35583
17,Binance,Aion,AION/BTC,2725368
18,Okex,Airbloc,ABL/BTC,138960
19,Binance,Airswap,AST/BTC,118933
20,Hitbtc,Airtoken,AIR/BTC,1068
21,Okex,All sports,SOC/BTC,192043
22,Hitbtc,Alphacat,ACAT/BTC,669045
23,Binance,Ambrosus,AMB/BTC,110551
24,Hitbtc,Animation vision cash,AVH/BTC,1
25,Kucoin,Aphelion,APH/BTC,148352
26,Binance,Appcoins,APPC/BTC,1039106
27,Bittrex,Aragon,ANT/BTC,11898
28,Hitbtc,Arbitragect,ARCT/BTC,27
29,Okex,Arcblock,ABT/BTC,145818
30,Hitbtc,Ardor,ARDR/BTC,198099
31,Binance,Ark,ARK/BTC,215386
32,Bittrex,Artbyte,ABY/BTC,6562
33,Okex,Asch,XAS/BTC,516
34,Hitbtc,Atlant,ATL/BTC,1741
35,Hitbtc,Atmchain,ATM/BTC,34
36,Hitbtc,Auctus,AUC/BTC,213
37,Binance,Augur,REP/BTC,662701
38,Kucoin,Aurora,AOA/BTC,417193
39,Bittrex,Auroracoin,AUR/BTC,3783
40,Hitbtc,Authorship,ATS/BTC,385
41,Okex,Aventus,AVT/BTC,0
42,Kucoin,Axpire,AXPR/BTC,56836
43,Kucoin,Babb,BAX/BTC,27803
44,Hitbtc,Banca,BANCA/BTC,43211
45,Hitbtc,Bancor,BNT/BTC,72271
46,Hitbtc,Bankera,BNK/BTC,16636
47,Okex,Bankex,BKX/BTC,448443
48,Binance,Basic attention token,BAT/BTC,666503
49,Bittrex,Bean cash,BITB/BTC,162063
50,Hitbtc,Betterbetting,BETR/BTC,35474
